ci_estudiante,ci_est_dpto,materia,ci_docente,ci_doc_dpto,periodo,nota,observaciones
8425764,LP,INF120,6833022,LP,II-2009,2,Reprobado
6150506,LP,EST392,6030223,LP,II-2011,7,Reprobado
6998038,LP,EST440,3459074,LP,II-2007,45,Reprobado
8441626,LP,EST392,5975560,LP,I-2000,10,Reprobado
6094524,LP,EST280,6020916,LP,I-2012,9,Reprobado
6094524,LP,EST440,4874363,LP,II-2012,30,Reprobado
6948542,LP,FIS100,4875775,LP,I-2006,14,Reprobado
4962498,LP,MAT320,6751047,LP,II-2007,62,Aprobado
6949853,LP,MAT320,8342748,LP,I-2014,11,Reprobado
6167607,LP,INF320,6143079,LP,II-2012,50,Reprobado
6927260,LP,INF391,6751047,LP,I-2014,50,Reprobado
8346639,LP,EST140,4312014,LP,II-2012,24,Reprobado
6849369,LP,INF325,6144341,LP,II-2014,6,Reprobado
4837304,LP,INF120,6798702,LP,I-2008,28,Reprobado
4826389,LP,EST140,6169847,LP,II-2004,11,Reprobado
5801726,TJ,EST440,4837464,LP,II-2007,76,Aprobado
8425764,LP,EST280,6826200,LP,I-2014,31,Reprobado
6169410,LP,MAT270,7290420,OR,I-2009,85,Aprobado
6150506,LP,INF324,4844828,LP,II-2013,45,Reprobado
4777949,LP,EST140,6780733,LP,II-2002,90,Aprobado
8302680,LP,EST280,4760216,LP,II-2000,37,Reprobado
6009256,LP,INF236,6049205,LP,II-2000,10,Reprobado
6720620,LP,MAT120,6888435,LP,II-2013,37,Reprobado
6963637,LP,MAT270,6761652,LP,II-2009,11,Reprobado
6077866,LP,INF391,6723965,LP,I-2010,97,Aprobado
8305378,LP,EST280,6759045,LP,I-2004,57,Aprobado
6793993,LP,EST392,6751047,LP,I-2008,79,Aprobado
6833022,LP,INF325,4875775,LP,I-2010,18,Reprobado
6169847,LP,MAT120,6855569,LP,II-2010,63,Aprobado
6776752,LP,MAT270,5975560,LP,I-2014,23,Reprobado
4792347,LP,INF236,4758753,LP,II-2002,68,Aprobado
7023542,LP,EST392,6085474,LP,II-2014,56,Aprobado
4780169,LP,EST280,6169847,LP,I-2002,10,Reprobado
6106186,LP,INF325,8306245,LP,I-2008,73,Aprobado
6765381,LP,EST280,4856270,LP,II-2003,45,Reprobado
6942105,LP,MAT270,4758753,LP,II-2012,52,Aprobado
4984804,LP,EST392,6852438,LP,I-2011,71,Aprobado
6153276,LP,FIS100,6720620,LP,I-2009,21,Reprobado
5979287,LP,MAT270,4898251,LP,II-2006,33,Reprobado
7001437,LP,INF324,4758753,LP,I-2005,17,Reprobado
5968381,LP,MAT120,4847126,LP,II-2009,46,Reprobado
8402517,LP,MAT320,5975560,LP,II-2010,7,Reprobado
6764063,LP,INF320,4844828,LP,II-2007,74,Aprobado
6733281,LP,INF236,6853401,LP,I-2000,92,Aprobado
4856270,LP,INF120,3483848,LP,II-2014,39,Reprobado
8306273,LP,INF236,6776752,LP,II-2014,99,Aprobado
6085474,LP,INF236,6169847,LP,II-2010,59,Aprobado
8260129,LP,EST392,6761652,LP,I-2007,76,Aprobado
7048950,LP,INF236,4844828,LP,II-2011,4,Reprobado
4811882,LP,EST140,6057424,LP,II-2005,99,Aprobado
6948818,LP,MAT270,4760216,LP,I-2003,12,Reprobado
6736701,LP,EST392,6723965,LP,I-2000,98,Aprobado
8337111,LP,INF236,6837306,LP,II-2006,4,Reprobado
8346639,LP,INF391,6888435,LP,II-2013,100,Aprobado
4784615,LP,INF120,3483848,LP,I-2013,6,Reprobado
6765381,LP,FIS100,4892034,LP,II-2004,73,Aprobado
5975560,LP,MAT320,5977396,LP,I-2005,13,Reprobado
6153276,LP,EST140,4874363,LP,I-2011,23,Reprobado
6131932,LP,EST392,6745690,LP,I-2010,64,Aprobado
6196542,LP,MAT270,5966709,LP,I-2007,8,Reprobado
6851673,LP,INF236,6833022,LP,II-2005,34,Reprobado
6126334,LP,FIS100,4830306,LP,II-2003,34,Reprobado
8406121,LP,FIS100,6888435,LP,II-2008,39,Reprobado
6963637,LP,MAT270,7290420,OR,I-2006,93,Aprobado
6087357,LP,INF391,5977396,LP,I-2007,64,Aprobado
6140134,LP,MAT120,538893,VE,I-2012,98,Aprobado
6010843,LP,MAT120,5801726,TJ,I-2002,6,Reprobado
4784615,LP,EST392,4760216,LP,I-2008,42,Reprobado
8402517,LP,MAT270,4896040,LP,I-2010,17,Reprobado
7001437,LP,MAT320,6150980,LP,II-2004,94,Aprobado
6905510,LP,EST280,5977396,LP,I-2001,3,Reprobado
6951609,LP,MAT320,6858270,LP,I-2001,33,Reprobado
5979287,LP,INF236,4774159,LP,II-2009,49,Reprobado
8305378,LP,MAT320,4928737,LP,I-2007,35,Reprobado
7001820,LP,EST280,6948542,LP,II-2002,83,Aprobado
6862348,LP,INF391,7007126,LP,II-2000,42,Reprobado
4924229,LP,MAT270,5801726,TJ,II-2000,41,Reprobado
6759045,LP,EST280,4760216,LP,II-2001,10,Reprobado
6759045,LP,MAT120,4852497,LP,I-2008,40,Reprobado
8337111,LP,EST140,6815832,LP,I-2005,34,Reprobado
6169410,LP,MAT270,4837464,LP,I-2009,70,Aprobado
4896040,LP,INF320,4949063,LP,II-2006,12,Reprobado
6842906,LP,INF236,4874363,LP,I-2011,57,Aprobado
6815832,LP,EST392,4896040,LP,II-2004,58,Aprobado
6851673,LP,MAT270,6085474,LP,I-2006,45,Reprobado
5979287,LP,MAT270,6765608,LP,I-2006,81,Aprobado
6059227,LP,INF325,5966709,LP,I-2014,84,Aprobado
6751047,LP,EST140,6095371,LP,I-2013,5,Reprobado
4758753,LP,INF324,6764063,LP,II-2000,76,Aprobado
4913514,LP,INF120,4830306,LP,I-2000,43,Reprobado
4312014,LP,MAT320,6150980,LP,I-2009,41,Reprobado
4312014,LP,EST280,6858879,LP,I-2003,24,Reprobado
6720620,LP,INF325,5994785,LP,I-2008,47,Reprobado
5801726,TJ,EST280,6139832,LP,II-2002,62,Aprobado
6753182,LP,INF391,6869689,LP,I-2013,89,Aprobado
7032468,LP,MAT120,6153276,LP,II-2002,27,Reprobado
8323895,LP,MAT270,6057424,LP,I-2001,51,Aprobado
6751497,LP,MAT270,6182990,LP,I-2006,87,Aprobado
8264238,LP,EST392,8342748,LP,II-2004,22,Reprobado
6153276,LP,MAT320,6853401,LP,I-2010,17,Reprobado
6720982,LP,INF120,4826389,LP,I-2002,47,Reprobado
4891593,LP,MAT270,6948542,LP,II-2003,73,Aprobado
9101758,LP,FIS100,6736701,LP,II-2013,8,Reprobado
4913514,LP,INF325,6182990,LP,II-2002,17,Reprobado
7001820,LP,INF236,6182990,LP,II-2014,43,Reprobado
8302680,LP,INF120,6858270,LP,I-2012,40,Reprobado
6933814,LP,EST440,6057424,LP,I-2002,91,Aprobado
5968381,LP,MAT120,6723965,LP,II-2007,5,Reprobado
5979287,LP,INF120,6182990,LP,II-2009,55,Aprobado
6824998,LP,INF391,6905510,LP,I-2008,1,Reprobado
8441626,LP,INF120,6833022,LP,I-2014,66,Aprobado
5604693,BN,EST440,7023542,LP,II-2001,36,Reprobado
6087357,LP,INF324,6150980,LP,II-2001,81,Aprobado
6852636,LP,MAT270,4826389,LP,I-2008,53,Aprobado
7005717,LP,INF325,6833022,LP,II-2004,11,Reprobado
6789190,LP,INF236,4896040,LP,I-2002,18,Reprobado
6948542,LP,INF236,6056909,LP,I-2002,51,Aprobado
8441626,LP,INF120,6869689,LP,II-2004,27,Reprobado
8356505,LP,INF236,6759045,LP,I-2005,78,Aprobado
6888435,LP,EST392,3459074,LP,II-2004,59,Aprobado
4891593,LP,INF236,4874363,LP,II-2006,7,Reprobado
6009256,LP,INF236,6824998,LP,II-2000,44,Reprobado
7290420,OR,INF391,6144341,LP,I-2012,58,Aprobado
6753182,LP,MAT320,4826389,LP,I-2014,23,Reprobado
6788550,LP,EST280,4852497,LP,II-2005,2,Reprobado
4268464,LP,MAT120,6755399,LP,I-2003,41,Reprobado
6835293,LP,EST392,6087357,LP,II-2010,92,Aprobado
6094524,LP,EST280,6736701,LP,I-2012,54,Aprobado
6106186,LP,INF324,4852497,LP,I-2004,59,Aprobado
6149905,LP,EST440,6776752,LP,I-2002,40,Reprobado
6086670,LP,INF325,6085474,LP,II-2003,90,Aprobado
6824136,LP,INF120,6056909,LP,II-2005,97,Aprobado
6056909,LP,EST440,6824998,LP,II-2014,81,Aprobado
6963637,LP,EST392,4852497,LP,II-2004,71,Aprobado
6869689,LP,INF236,6852438,LP,I-2013,20,Reprobado
9083612,LP,EST392,7007126,LP,I-2014,18,Reprobado
9101758,LP,MAT120,6723965,LP,I-2013,37,Reprobado
9179201,LP,EST392,5960219,LP,II-2012,44,Reprobado
7007827,LP,EST280,8306245,LP,II-2002,97,Aprobado
9101758,LP,EST440,5960219,LP,I-2001,45,Reprobado
2622011,LP,INF236,4898251,LP,I-2002,97,Aprobado
4965844,LP,MAT320,6140134,LP,I-2007,53,Aprobado
6191127,LP,MAT270,2622011,LP,II-2004,91,Aprobado
8402517,LP,EST440,8441626,LP,II-2004,40,Reprobado
8264238,LP,EST440,6150980,LP,II-2011,23,Reprobado
9112023,LP,EST392,4898251,LP,II-2007,63,Aprobado
6728060,LP,EST280,4874363,LP,I-2003,8,Reprobado
6733281,LP,EST280,6824136,LP,I-2012,2,Reprobado
6733281,LP,INF324,8441626,LP,I-2000,48,Reprobado
6153276,LP,EST280,4312014,LP,II-2003,13,Reprobado
4837304,LP,INF236,4856270,LP,II-2001,99,Aprobado
4900069,LP,MAT320,3459074,LP,II-2004,13,Reprobado
6754975,LP,INF120,6056909,LP,II-2010,91,Aprobado
6838626,LP,EST280,6736701,LP,II-2006,18,Reprobado
6888435,LP,MAT270,7290420,OR,I-2001,100,Aprobado
6191127,LP,EST392,6736701,LP,I-2002,18,Reprobado
6869126,LP,INF391,5801726,TJ,I-2012,3,Reprobado
6793993,LP,EST280,6764063,LP,I-2002,4,Reprobado
4745826,LP,EST392,7290420,OR,II-2010,73,Aprobado
6018908,LP,INF324,6765608,LP,I-2014,7,Reprobado
6002249,LP,FIS100,5966709,LP,I-2010,33,Reprobado
6059227,LP,INF324,6049205,LP,I-2012,8,Reprobado
7032468,LP,FIS100,7023542,LP,I-2001,91,Aprobado
7048950,LP,INF120,538893,VE,I-2000,71,Aprobado
6720620,LP,INF391,6765608,LP,I-2013,68,Aprobado
9112023,LP,EST440,6085474,LP,II-2014,11,Reprobado
6933814,LP,INF391,6140134,LP,I-2013,27,Reprobado
9944703,LP,INF320,5966709,LP,I-2011,99,Aprobado
4792347,LP,INF236,4774159,LP,I-2005,44,Reprobado
4844828,LP,INF391,6150980,LP,II-2014,75,Aprobado
6778337,LP,INF391,6020916,LP,I-2002,23,Reprobado
5977396,LP,MAT320,6869689,LP,II-2007,59,Aprobado
6948332,LP,INF324,6049205,LP,II-2011,4,Reprobado
8306273,LP,MAT270,6720620,LP,II-2013,50,Reprobado
8305378,LP,EST392,4847126,LP,I-2002,47,Reprobado
6852438,LP,MAT320,6169847,LP,I-2001,72,Aprobado
6086670,LP,MAT320,4758753,LP,II-2012,33,Reprobado
4856270,LP,INF325,6140134,LP,II-2003,72,Aprobado
9083612,LP,INF120,6009256,LP,I-2007,93,Aprobado
6791239,LP,INF324,6765608,LP,I-2012,4,Reprobado
9112023,LP,EST140,6869689,LP,II-2012,60,Aprobado
4894944,LP,INF120,6736701,LP,I-2002,79,Aprobado
5964988,LP,MAT120,6826200,LP,II-2003,1,Reprobado
6150506,LP,INF324,6824136,LP,I-2003,40,Reprobado
7290420,OR,MAT120,6855569,LP,I-2008,24,Reprobado
6124769,LP,INF236,5981213,LP,II-2001,14,Reprobado
6131932,LP,INF391,6751047,LP,II-2004,26,Reprobado
6949853,LP,EST280,6755399,LP,II-2007,59,Aprobado
6131932,LP,EST440,6858270,LP,I-2014,63,Aprobado
6948818,LP,INF120,5994785,LP,I-2007,68,Aprobado
4928737,LP,EST392,4898251,LP,II-2002,77,Aprobado
4874363,LP,FIS100,6852438,LP,II-2008,5,Reprobado
6855569,LP,EST440,6764063,LP,I-2012,51,Aprobado
6094524,LP,FIS100,6824136,LP,I-2008,32,Reprobado
6852636,LP,INF324,6826200,LP,II-2005,56,Aprobado
6833022,LP,MAT320,6888435,LP,II-2009,43,Reprobado
5960219,LP,INF391,4949063,LP,II-2005,75,Aprobado
6998038,LP,MAT320,6765608,LP,II-2000,9,Reprobado
6150980,LP,INF325,6815832,LP,I-2000,25,Reprobado
5941682,LP,EST392,4830306,LP,I-2011,92,Aprobado
6095371,LP,MAT270,4896040,LP,II-2003,24,Reprobado
4774159,LP,MAT120,6853401,LP,II-2012,1,Reprobado
6888435,LP,EST440,6824998,LP,II-2005,89,Aprobado
6869689,LP,MAT320,6815832,LP,II-2002,83,Aprobado
6030223,LP,INF324,6736701,LP,I-2012,18,Reprobado
6872212,LP,INF325,7023542,LP,II-2013,32,Reprobado
6838626,LP,INF320,5998313,LP,I-2005,89,Aprobado
6869689,LP,INF324,4844828,LP,II-2001,0,Abandono
6833022,LP,EST392,6815832,LP,II-2009,84,Aprobado
6948542,LP,EST392,6837306,LP,II-2012,68,Aprobado
4847126,LP,INF324,6087357,LP,I-2007,21,Reprobado
4837304,LP,INF236,4852497,LP,I-2001,37,Reprobado
6149357,LP,EST140,2622011,LP,I-2013,98,Aprobado
6826200,LP,EST280,6824998,LP,I-2003,56,Aprobado
6948542,LP,INF120,4928737,LP,I-2014,2,Reprobado
4758753,LP,INF320,6153276,LP,II-2010,44,Reprobado
6933814,LP,MAT120,6095371,LP,II-2009,19,Reprobado
6824998,LP,EST280,6858270,LP,II-2011,89,Aprobado
8356505,LP,MAT270,3483848,LP,II-2004,94,Aprobado
4830306,LP,FIS100,6009256,LP,II-2007,20,Reprobado
6948332,LP,INF325,538893,VE,I-2009,71,Aprobado
8356505,LP,MAT320,5981213,LP,II-2003,55,Aprobado
9216537,LP,MAT270,3483848,LP,II-2002,90,Aprobado
6844312,LP,EST280,7023542,LP,I-2008,64,Aprobado
5975080,LP,EST440,5801726,TJ,I-2011,1,Reprobado
5994995,LP,INF325,6057424,LP,I-2010,60,Aprobado
6963637,LP,FIS100,5966709,LP,II-2000,30,Reprobado
8346639,LP,MAT320,3483848,LP,II-2011,70,Aprobado
6720982,LP,MAT270,4837464,LP,I-2002,14,Reprobado
4774159,LP,INF236,7023542,LP,II-2006,23,Reprobado
9122265,LP,INF236,3483848,LP,II-2003,64,Aprobado
6927260,LP,INF391,6736701,LP,II-2013,84,Aprobado
7001437,LP,INF320,6824998,LP,II-2009,64,Aprobado
5994785,LP,MAT120,5801726,TJ,II-2002,14,Reprobado
4837464,LP,INF120,6776752,LP,II-2003,0,Abandono
6869597,LP,MAT270,5981213,LP,I-2009,57,Aprobado
4780169,LP,MAT270,5960219,LP,II-2008,24,Reprobado
8342748,LP,INF236,4928737,LP,I-2010,9,Reprobado
9994525,LP,MAT120,6853401,LP,I-2000,30,Reprobado
8356505,LP,MAT320,6736701,LP,II-2003,84,Aprobado
5801726,TJ,INF324,6837306,LP,I-2007,21,Reprobado
6059227,LP,INF324,6780733,LP,I-2000,44,Reprobado
9216537,LP,INF236,4760216,LP,II-2007,98,Aprobado
6077866,LP,INF236,6131932,LP,II-2004,53,Aprobado
6963637,LP,INF391,6948542,LP,I-2002,80,Aprobado
6793993,LP,MAT270,6765381,LP,I-2002,54,Aprobado
6002249,LP,INF324,6736701,LP,II-2003,57,Aprobado
6855569,LP,INF325,6855569,LP,II-2010,45,Reprobado
7023542,LP,MAT270,4856270,LP,I-2000,87,Aprobado
6153276,LP,INF120,5981213,LP,II-2000,36,Reprobado
7068077,LP,MAT270,6778337,LP,I-2012,99,Aprobado
6837306,LP,INF391,4826389,LP,II-2006,55,Aprobado
7023542,LP,INF325,6745690,LP,II-2003,37,Reprobado
8337111,LP,EST280,6858879,LP,I-2013,46,Reprobado
6927260,LP,INF236,6837306,LP,II-2003,71,Aprobado
8321673,LP,INF320,8441626,LP,II-2000,87,Aprobado
6057424,LP,EST392,6837306,LP,I-2001,31,Reprobado
4250338,LP,INF236,6765381,LP,II-2000,21,Reprobado
8402517,LP,MAT320,4965844,LP,II-2010,56,Aprobado
7001820,LP,INF391,6853401,LP,II-2009,29,Reprobado
3459074,LP,MAT320,5966709,LP,II-2014,51,Aprobado
8402517,LP,MAT270,6761652,LP,I-2013,83,Aprobado
4924998,LP,MAT120,6169847,LP,II-2011,23,Reprobado
8328821,LP,FIS100,6755399,LP,II-2012,1,Reprobado
6720620,LP,EST440,5977396,LP,I-2014,17,Reprobado
6144520,LP,MAT270,4856270,LP,II-2004,73,Aprobado
7048950,LP,EST440,6853401,LP,II-2013,45,Reprobado
6833022,LP,EST440,4837464,LP,I-2000,38,Reprobado
6824998,LP,MAT270,6140134,LP,I-2010,75,Aprobado
4822122,LP,MAT270,6736701,LP,I-2004,100,Aprobado
4924229,LP,INF391,5801726,TJ,I-2012,22,Reprobado
6835293,LP,INF120,6087357,LP,I-2003,17,Reprobado
8412330,LP,MAT270,4928737,LP,I-2007,29,Reprobado
5977801,LP,MAT120,6139832,LP,II-2009,65,Aprobado
6030223,LP,EST392,4965844,LP,II-2000,18,Reprobado
6174448,LP,INF236,6778337,LP,I-2003,8,Reprobado
6087357,LP,INF391,8342748,LP,I-2001,91,Aprobado
6736701,LP,FIS100,6853401,LP,II-2004,100,Aprobado
4924229,LP,INF325,6765381,LP,II-2005,30,Reprobado
6948542,LP,EST280,2622011,LP,II-2008,8,Reprobado
6751497,LP,INF236,6858879,LP,II-2014,26,Reprobado
6143079,LP,MAT120,6824998,LP,I-2014,10,Reprobado
3459074,LP,INF120,4892034,LP,I-2001,61,Aprobado
4758753,LP,MAT120,2622011,LP,II-2009,70,Aprobado
8356505,LP,EST392,6131932,LP,I-2010,61,Aprobado
9083612,LP,EST280,6144341,LP,II-2009,52,Aprobado
5979287,LP,MAT120,6049205,LP,I-2005,26,Reprobado
6830287,LP,FIS100,6720620,LP,I-2001,17,Reprobado
6800465,LP,EST280,5966709,LP,II-2003,48,Reprobado
6814638,LP,INF320,7007126,LP,II-2011,8,Reprobado
7001820,LP,EST440,6049205,LP,II-2008,10,Reprobado
6824136,LP,INF325,6139832,LP,I-2013,24,Reprobado
6169847,LP,INF391,6018908,LP,II-2002,52,Aprobado
4892034,LP,MAT120,5994785,LP,II-2004,43,Reprobado
6948818,LP,EST392,6778337,LP,II-2013,72,Aprobado
6009256,LP,INF120,6948542,LP,I-2001,100,Aprobado
6837306,LP,MAT320,6057424,LP,I-2000,57,Aprobado
8305840,LP,MAT270,6869689,LP,II-2003,23,Reprobado
7001437,LP,EST280,6833022,LP,II-2004,57,Aprobado
8469272,LP,INF236,4837464,LP,II-2014,77,Aprobado
5975560,LP,MAT120,6837306,LP,I-2006,62,Aprobado
8346210,LP,INF320,5960219,LP,II-2002,97,Aprobado
4758753,LP,MAT120,6826200,LP,II-2000,15,Reprobado
4923886,LP,INF236,6888435,LP,II-2002,77,Aprobado
6789190,LP,EST392,6009256,LP,II-2011,22,Reprobado
6855569,LP,EST392,4928737,LP,II-2014,70,Aprobado
5975080,LP,INF236,6780733,LP,I-2005,77,Aprobado
5994785,LP,MAT320,5981213,LP,II-2013,84,Aprobado
9083612,LP,INF120,6853401,LP,I-2011,84,Aprobado
4894944,LP,MAT270,7290420,OR,I-2008,66,Aprobado
6031586,LP,EST280,7023542,LP,I-2014,32,Reprobado
6780733,LP,INF236,6143079,LP,I-2002,32,Reprobado
3483848,LP,FIS100,4758753,LP,I-2011,69,Aprobado
8406121,LP,EST140,7007126,LP,I-2003,57,Aprobado
5979287,LP,EST140,538893,VE,II-2010,50,Reprobado
6031586,LP,EST392,4774159,LP,II-2014,80,Aprobado
6167607,LP,INF236,4875775,LP,I-2003,77,Aprobado
6964230,LP,INF324,2622011,LP,I-2014,65,Aprobado
8469272,LP,EST280,4896040,LP,I-2009,20,Reprobado
6751497,LP,EST392,4830306,LP,II-2005,70,Aprobado
6020916,LP,INF120,4928737,LP,II-2009,16,Reprobado
5979309,LP,INF325,6153276,LP,I-2001,93,Aprobado
8291673,LP,EST280,4874363,LP,II-2000,58,Aprobado
6872212,LP,INF324,6858879,LP,I-2001,76,Aprobado
6150506,LP,EST392,6778337,LP,I-2006,47,Reprobado
6830287,LP,INF120,4758753,LP,II-2012,15,Reprobado
6869597,LP,MAT270,6833022,LP,II-2011,85,Aprobado
7001437,LP,INF120,6140134,LP,I-2009,76,Aprobado
6825876,LP,EST392,6751047,LP,I-2007,17,Reprobado
4928737,LP,EST392,8441626,LP,II-2001,65,Aprobado
6814638,LP,INF325,6824136,LP,I-2003,99,Aprobado
5966709,LP,INF324,6824136,LP,II-2004,12,Reprobado
8356505,LP,INF236,6143079,LP,I-2007,4,Reprobado
6852438,LP,INF320,6150506,LP,II-2007,25,Reprobado
5977801,LP,FIS100,6131932,LP,I-2001,86,Aprobado
5940612,LP,EST392,3483848,LP,I-2012,13,Reprobado
8432254,LP,MAT320,7023542,LP,II-2012,78,Aprobado
6900933,LP,EST440,6143079,LP,II-2006,100,Aprobado
4774159,LP,INF120,3483848,LP,II-2008,11,Reprobado
